FeatureName,GiniImportance
100,0.333878
101,0.303971
102,0.297159
103,0.263036
104,0.261233
105,0.259227
106,0.252293
107,0.247871
108,0.246668
109,0.227262
110,0.218227
111,0.176709
112,0.126521
113,0.124782
114,0.0875916
