Features,PerSon
100,0.948246
101,0.933287
102,0.927599
103,0.901778
104,0.900063
105,0.874892
106,0.867332
107,0.852718
108,0.844929
109,0.838713
110,0.813627
111,0.811507
112,0.797736
113,0.786234
114,0.773098
115,0.761441
