Features,PerSon
100,0.948246
101,0.927599
102,0.867332
103,0.844929
104,0.813627
105,0.811507
106,0.741084
107,0.720833
108,0.705757
109,0.701086
110,0.69604
111,0.637482
112,0.600501
113,0.58994
114,0.54883
115,0.53854
