BookWordCount BookScore BookScoreCount AddListCount Mode Median StandardDeviation Quartile DispersionCoefficient Kurtosis Class
0.94 6.8 153 45 8.00 8.00 2.54 2.00 0.38 223.96 bad
0.91 5.9 51 2 2.00 8.00 3.21 6.00 0.55 49.13 bad
0.95 6.1 248 119 8.00 6.00 2.75 4.00 0.45 106.33 bad
0.99 7.3 956 180 10.00 8.00 2.60 4.00 0.36 259.41 good
0.89 6.8 429 110 8.00 8.00 2.79 4.00 0.41 159.36 good
1.00 7.6 745 183 10.00 8.00 2.42 4.00 0.32 440.27 good
0.93 6.2 217 57 6.00 6.00 2.60 4.00 0.42 147.32 bad
0.87 6.6 104 22 6.00 6.00 2.56 4.00 0.39 188.48 bad
0.94 5.2 356 55 2.00 4.00 2.82 6.00 0.54 51.21 good
0.95 6.4 182 65 10.00 6.00 2.97 6.00 0.46 95.46 bad
0.98 6.7 1636 321 10.00 8.00 2.94 6.00 0.44 118.81 good
0.96 7.2 654 218 10.00 8.00 2.82 4.00 0.39 191.97 good
0.94 6.9 396 121 8.00 8.00 2.44 2.00 0.35 288.02 bad
0.95 5.5 13 4 6.00 6.00 2.35 2.00 0.43 128.84 good
0.85 6.7 188 100 8.00 8.00 2.36 2.00 0.35 282.28 good
0.78 6.5 39 7 8.00 8.00 2.53 2.00 0.39 198.40 good
0.97 7.3 2113 558 8.00 8.00 2.40 4.00 0.33 391.57 good
0.97 6.5 942 253 6.00 6.00 2.39 2.00 0.37 243.27 bad
0.98 7.1 219 65 10.00 8.00 2.47 4.00 0.35 286.97 bad
0.93 5.3 225 39 2.00 6.00 2.63 6.00 0.51 65.28 good
0.97 4.9 25 5 6.00 4.00 2.29 2.00 0.46 92.39 bad
0.97 7.4 339 98 8.00 8.00 2.42 4.00 0.33 385.10 good
0.92 6.0 349 102 6.00 6.00 2.70 4.00 0.44 114.14 good
0.98 6.4 1184 188 10.00 6.00 3.13 6.00 0.50 72.91 bad
0.95 6.0 88 34 6.00 6.00 2.38 4.00 0.40 170.95 bad
0.96 5.8 112 31 6.00 6.00 2.46 4.00 0.43 131.59 bad
0.95 5.4 201 63 6.00 6.00 2.55 4.00 0.48 84.03 bad
0.98 6.1 136 25 6.00 6.00 2.45 4.00 0.40 164.81 bad
0.96 6.0 19 7 6.00 6.00 2.53 4.00 0.42 138.45 good
0.91 5.5 34 5 6.00 6.00 2.37 2.00 0.42 132.92 bad
0.99 7.3 1575 274 8.00 8.00 2.52 4.00 0.35 297.36 good
0.96 4.5 59 14 6.00 4.00 2.03 4.00 0.45 102.63 bad
0.93 7.0 385 126 8.00 8.00 2.44 4.00 0.35 313.76 bad
0.97 7.0 93 32 6.00 6.00 2.17 2.00 0.31 502.72 good
0.98 5.6 320 57 6.00 6.00 2.56 4.00 0.45 101.09 good
0.92 8.9 768 149 10.00 10.00 2.01 2.00 0.22 1797.82 good
0.85 7.4 387 146 10.00 8.00 2.56 4.00 0.34 319.05 good
0.98 6.5 607 108 10.00 8.00 3.15 8.00 0.48 82.37 good
0.98 7.3 2063 510 10.00 8.00 2.79 4.00 0.38 209.65 good
0.89 5.7 82 11 6.00 6.00 2.80 6.00 0.49 73.99 bad
0.97 4.4 31 5 4.00 4.00 2.33 4.00 0.52 58.14 good
0.96 5.9 23 1 8.00 6.00 2.28 4.00 0.39 194.01 bad
